#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.44,0.00
1,1000,5.48,0.18
2,1000,5.49,0.36
4,1000,5.50,0.73
8,1000,5.49,1.46
16,1000,5.49,2.91
32,1000,5.48,5.84
64,1000,5.52,11.60
128,1000,5.56,23.00
256,1000,5.62,45.52
512,1000,5.65,90.70
1024,1000,6.28,163.01
2048,1000,6.09,336.38
4096,1000,7.00,584.76
8192,1000,7.44,1101.57
16384,1000,9.57,1712.86
32768,1000,15.83,2069.92
65536,640,30.44,2152.66
131072,320,43.09,3042.17
262144,160,61.32,4275.07
524288,80,95.30,5501.38
1048576,40,160.67,6526.12
2097152,20,307.03,6830.52
4194304,10,589.70,7112.61
